filename,boundary_recall,class_homogeneity,undersegmentation_error,achievable_segmentation_accuracy,num_superpixels,mean_num_pixels_per_superpixels
1.npy,1.0814634146341464,0.8743961352657005,0.02599651106360095,0.9870017444681995,207,1473.256038647343
10.npy,1.1589849818746762,0.903954802259887,0.010936792046237324,0.9945316039768813,354,1533.723163841808
11.npy,1.0678438661710037,0.9698924731182795,0.0031734633284078826,0.998413268335796,465,1557.268817204301
12.npy,0.8088357877188108,0.7969924812030075,0.0839933819129088,0.9574249807642985,133,1495.1052631578948
13.npy,1.0913859745996688,0.7514450867052023,0.043824491549950446,0.9780877542250248,173,1318.1849710982658
14.npy,0.6787719955073006,0.8774193548387097,0.031471135940409685,0.984016139044072,155,1247.225806451613
15.npy,0.7851213944801826,0.8150943396226416,0.04340518967588693,0.9782870479057628,530,1366.2830188679245
16.npy,1.0995148503135723,0.7751798561151079,0.04915553837018215,0.9754173974286385,556,1302.3920863309352
17.npy,1.0984946236559139,0.7923076923076923,0.04590285584542882,0.9768852068646616,130,1389.053846153846
18.npy,0.8692787177203918,0.8106666666666666,0.04918056942044948,0.9753765623330841,375,1447.8346666666666
19.npy,1.0767565767565768,0.7864583333333334,0.042898084127469434,0.9784910984311285,384,1413.9010416666667
2.npy,1.171303873431533,0.8734939759036144,0.02507432730273956,0.9869352766288699,166,1284.6144578313254
20.npy,0.9340256566890653,0.9224137931034483,0.019485451507326033,0.990257274246337,464,1560.625
21.npy,1.0016910935738443,0.875,0.03512236813231235,0.9822135985124101,176,1475.846590909091
22.npy,1.1990498812351544,0.9104046242774566,0.010892588103982408,0.9945537059480088,346,1569.1849710982658
23.npy,1.1103160405485988,0.9022801302931596,0.0071610386452965165,0.9964194806773518,307,1768.5276872964168
24.npy,1.270135424091233,0.808695652173913,0.019438359937566402,0.9900578428929316,230,1325.9304347826087
25.npy,1.1530944625407167,0.8034825870646766,0.03740206064044145,0.981159911444769,402,1350.592039800995
26.npy,1.459051724137931,0.9241379310344827,0.0034328581584165824,0.9982835709207917,145,1474.5931034482758
27.npy,1.2678571428571428,0.988929889298893,0.002822697581925897,0.9985886512090371,542,1336.0332103321034
3.npy,1.1938534278959811,0.9659090909090909,0.004777990534340113,0.9976110047328299,176,1258.1363636363637
4.npy,1.264212236058473,0.9210526315789473,0.0074188949751168645,0.9962905525124416,380,1428.7842105263157
5.npy,0.9135593220338983,0.9585152838427947,0.008262328587408338,0.9957728584646404,458,1581.0698689956332
6.npy,1.3093220338983051,0.9417879417879418,0.00803999281896897,0.9959040503776946,481,1505.4677754677755
7.npy,0.8455882352941176,0.9090909090909091,0.02665819673263088,0.9866709016336845,495,1462.888888888889
8.npy,0.9636698091515291,0.7751004016064257,0.04605108078165146,0.9768580722721165,249,1362.987951807229
9.npy,1.1988003427592115,0.9373776908023483,0.009028765553146535,0.9954856172234268,511,1417.0841487279843
