filename,boundary_recall,class_homogeneity,undersegmentation_error,achievable_segmentation_accuracy,num_superpixels,mean_num_pixels_per_superpixels
1.npy,1.2248780487804878,0.921875,0.016585564197741372,0.9917072179011294,320,953.0125
10.npy,1.1046090108751943,0.9552238805970149,0.01697431382588804,0.991512843087056,603,900.3946932006634
11.npy,1.3271375464684014,0.9794608472400513,0.003700992915636695,0.9981495035421817,779,929.5635430038511
12.npy,1.0058349541539315,0.8325358851674641,0.04985692661265583,0.9749608999793813,209,951.4306220095693
13.npy,1.0485919381557152,0.8471074380165289,0.048455136244441914,0.9757724318777791,242,942.3388429752066
14.npy,0.724073380756271,0.9128205128205128,0.032691909786881856,0.9836540451065591,195,991.3846153846154
15.npy,0.8158331604067234,0.8558786346396966,0.04047477662850593,0.9797619212019941,791,915.4614412136536
16.npy,1.0210625961424684,0.8528301886792453,0.05041083783298579,0.9747503901233204,795,910.8553459119497
17.npy,1.1488172043010754,0.8526315789473684,0.048566539481772315,0.9757167302591139,190,950.4052631578948
18.npy,0.9786286731967943,0.8624595469255664,0.04466992547952068,0.977555448320066,618,878.5404530744337
19.npy,1.1545121545121546,0.8470588235294118,0.040711830816778344,0.979268351082444,595,912.5008403361345
2.npy,1.188216039279869,0.9318181818181818,0.028042729992590717,0.9859786350037046,220,969.3
20.npy,1.1740989615149664,0.9334975369458128,0.014504301713780674,0.9927333489842984,812,891.7857142857143
21.npy,1.1950394588500564,0.8927335640138409,0.026410111299754763,0.9867949443501226,289,898.7854671280277
22.npy,1.279809976247031,0.9470198675496688,0.009894315741392204,0.9950528421293039,604,898.9039735099337
23.npy,1.2587954680977937,0.9537671232876712,0.011202015699766824,0.9943989921501166,584,929.6883561643835
24.npy,1.136136849607983,0.92,0.029806796867827022,0.9847457404808436,325,938.3507692307692
25.npy,1.1779530258871935,0.8645484949832776,0.03776121767126265,0.9811193911643686,598,907.9230769230769
26.npy,1.5603448275862069,0.9563318777292577,0.003863134657836645,0.9980684326710817,229,933.6943231441048
27.npy,1.1071428571428572,0.9937185929648241,0.0031265104332095068,0.9984367447833953,796,909.7110552763819
3.npy,0.817966903073286,0.987012987012987,0.005536688464178619,0.9969742403988583,231,958.5800865800866
4.npy,1.2322685435841907,0.9536423841059603,0.010594211493761718,0.9947028942531191,604,898.9039735099337
5.npy,1.1050847457627118,0.9751861042183623,0.0064270227721541714,0.9967864886139229,806,898.424317617866
6.npy,1.2790556900726393,0.9616336633663366,0.007227983925538232,0.9962575780591882,808,896.200495049505
7.npy,0.8942307692307693,0.9243902439024391,0.01759076408932098,0.9912046179553395,820,883.0853658536586
8.npy,0.9770062083237526,0.8571428571428571,0.04440397897366994,0.9776212196214318,385,881.5168831168832
9.npy,1.356898029134533,0.9542719614921781,0.009688868020935467,0.9951555659895323,831,871.3959085439229
