filename,boundary_recall,class_homogeneity,undersegmentation_error,achievable_segmentation_accuracy,num_superpixels,mean_num_pixels_per_superpixels
42463520.npy,1.6111111111111112,0.9537037037037037,0.02369456284626829,0.9881527185768658,432,253.61342592592592
42795613.npy,1.7173524150268336,0.9536178107606679,0.019477733865152745,0.9902611330674236,539,203.26716141001856
42925587.npy,1.7830985915492958,0.9774436090225563,0.006863756263633957,0.996568121868183,532,205.94172932330827
42960140.npy,1.731012658227848,0.9823182711198428,0.0056224386414873906,0.9971887806792563,509,215.2475442043222
43079279.npy,1.6994949494949494,0.974,0.006407389490785955,0.996796305254607,500,219.122
43189696.npy,1.8341013824884793,0.9726027397260274,0.006571681529011236,0.9967141592354943,511,214.4050880626223
43311605.npy,1.5774647887323943,0.9717171717171718,0.015169631529467603,0.9924151842352662,495,221.33535353535353
43311685.npy,1.8692946058091287,0.9717741935483871,0.004892251804930587,0.9975538740975347,496,220.8891129032258
43752579.npy,1.901656314699793,0.9199134199134199,0.02937176550049744,0.9853141172497513,462,237.14502164502164
43769828.npy,1.7629063097514341,0.9580952380952381,0.013362419108989512,0.9933187904455052,525,208.68761904761905
43769992.npy,1.624203821656051,0.9779116465863453,0.004070791613804182,0.997964604193098,498,220.00200803212851
43783081.npy,1.7804054054054055,0.9653465346534653,0.01307034437436679,0.9934648278128166,404,271.19059405940595
43788959.npy,1.9554455445544554,0.9721115537848606,0.005951022717937952,0.997024488641031,502,218.24900398406373
43789633.npy,1.7739234449760766,0.9440559440559441,0.03137977930102865,0.9843101103494857,572,191.5402097902098
43789853.npy,1.5869205298013245,0.8933601609657947,0.0584879656082,0.9707560171959,497,220.4446680080483
43790150.npy,1.703358208955224,0.9586614173228346,0.017323682697310175,0.9913381586513449,508,215.67125984251967
43937195.npy,2.062968515742129,0.9551401869158879,0.010934547877438139,0.994532726061281,535,204.78691588785045
43950094.npy,1.805263157894737,0.9567779960707269,0.008725732696853807,0.9956371336515731,509,215.2475442043222
44057738.npy,1.6596306068601583,0.950592885375494,0.023019140022453245,0.9884904299887733,506,216.52371541501975
44139970.npy,1.8061224489795917,0.9904580152671756,0.002062777813272971,0.9989686110933635,524,209.08587786259542
44159646.npy,1.55859375,0.9754098360655737,0.011555206688511423,0.9942223966557443,488,224.51024590163934
44213691.npy,1.7842465753424657,0.9773584905660377,0.009802758280775094,0.9950986208596124,530,206.7188679245283
44214679.npy,1.7092819614711032,0.8996062992125984,0.04685974023603289,0.9765701298819836,508,215.67125984251967
44239359.npy,1.3726415094339623,0.9861111111111112,0.005951022717937952,0.997024488641031,504,217.3829365079365
44239378.npy,1.8425196850393701,0.9840637450199203,0.004800978450360986,0.9975995107748195,502,218.24900398406373
44240128.npy,1.8427230046948357,0.9353448275862069,0.015443451593176404,0.9922782742034117,464,236.12284482758622
44505399.npy,1.6704545454545454,0.9521988527724665,0.03298619034145362,0.9835069048292732,523,209.48565965583174
44552252.npy,1.6443932411674347,0.890495867768595,0.059638009875776964,0.9701809950621115,484,226.36570247933884
44599571.npy,1.5076252723311547,0.9353535353535354,0.0410547548854063,0.9794726225572968,495,221.33535353535353
44602134.npy,1.4954128440366972,0.9594320486815415,0.020992871551008114,0.9895035642244959,493,222.23326572008114
44609586.npy,2.1035353535353534,0.9620253164556962,0.010697237155557178,0.9946513814222214,474,231.14135021097047
44624338.npy,1.4982935153583619,0.9601593625498008,0.026706583547065104,0.9866467082264675,502,218.24900398406373
44651102.npy,0.954639175257732,0.9612244897959183,0.016995098620859614,0.9915024506895702,490,223.5938775510204
44652186.npy,1.5099601593625498,0.9308176100628931,0.044066775586203116,0.9779666122068984,477,229.68763102725367
44671556.npy,1.65962441314554,0.9211009174311927,0.03908325042670293,0.9804583747866485,545,201.02935779816514
44685449.npy,1.3421052631578947,0.9548133595284872,0.013508456476300874,0.9932457717618496,509,215.2475442043222
44804368.npy,1.136327817178881,0.9468864468864469,0.015443451593176404,0.9922782742034117,546,200.66117216117217
44911716.npy,1.5794701986754967,0.9159663865546218,0.04647639214684057,0.9767618039265797,476,230.17016806722688
