filename,boundary_recall,class_homogeneity,undersegmentation_error,achievable_segmentation_accuracy,num_superpixels,mean_num_pixels_per_superpixels
42463520.npy,0.9731800766283525,0.9142857142857143,0.027053422294429585,0.9864732888527852,140,782.5785714285714
42795613.npy,0.9499105545617174,0.8943089430894309,0.025027153822984455,0.9874864230885078,123,890.739837398374
42925587.npy,1.4169014084507043,0.9047619047619048,0.004563667728480025,0.99771816613576,105,1043.4380952380952
42960140.npy,1.0791139240506329,0.9779411764705882,0.010332143737278776,0.9948339281313606,136,805.5955882352941
43079279.npy,1.3106060606060606,0.9361702127659575,0.007447905732879401,0.9962760471335603,141,777.0283687943263
43189696.npy,1.2903225806451613,0.9365079365079365,0.008123328556694445,0.9959383357216528,126,869.531746031746
43311605.npy,1.352112676056338,0.96,0.01290605233614151,0.9935469738319292,150,730.4066666666666
43311685.npy,1.3568464730290457,0.9037037037037037,0.005713711996056991,0.9971431440019715,135,811.562962962963
43752579.npy,1.2784679089026916,0.8129032258064516,0.03771415010815893,0.9811429249459206,155,706.8451612903226
43769828.npy,1.248565965583174,0.9251700680272109,0.015516470276832084,0.992241764861584,147,745.3129251700681
43769992.npy,1.1114649681528663,0.9813664596273292,0.005859749363368352,0.9970701253183158,161,680.5031055900621
43783081.npy,1.0472972972972974,0.9629629629629629,0.015133122187639762,0.9924334389061801,162,676.3024691358024
43788959.npy,1.0915841584158417,0.9496402877697842,0.013855295223665355,0.9930723523881673,139,788.2086330935252
43789633.npy,0.8169856459330144,0.8671328671328671,0.06650176613941092,0.9667491169302945,143,766.1608391608391
43789853.npy,0.6862582781456954,0.8355263157894737,0.09886729766979126,0.9505663511651044,152,720.796052631579
43790150.npy,0.9514925373134329,0.9384615384615385,0.026834366243462547,0.9865828168782688,130,842.776923076923
43937195.npy,1.1229385307346327,0.912,0.022508009236863483,0.9887459953815683,125,876.488
43950094.npy,1.5263157894736843,0.8591549295774648,0.00925511815335749,0.9953724409233212,142,771.556338028169
44057738.npy,0.9551451187335093,0.8852459016393442,0.0366918885369794,0.9816540557315103,122,898.0409836065573
44139970.npy,1.3928571428571428,0.9621212121212122,0.0013143363058022472,0.9993428318470988,132,830.0075757575758
44159646.npy,0.74609375,0.9603174603174603,0.016465713164355928,0.991767143417822,126,869.531746031746
44213691.npy,0.910958904109589,0.984375,0.0108980385356103,0.9945509807321948,128,855.9453125
44214679.npy,0.9754816112084063,0.8253968253968254,0.08990425425105648,0.9550478728744718,126,869.531746031746
44239359.npy,1.3773584905660377,0.9615384615384616,0.004107300955632023,0.997946349522184,130,842.776923076923
44239378.npy,1.18503937007874,0.9806451612903225,0.005056543843155867,0.9974717280784221,155,706.8451612903226
44240128.npy,1.3931924882629108,0.8552631578947368,0.015936327707852246,0.9920318361460739,152,720.796052631579
44505399.npy,0.7585227272727273,0.8938053097345132,0.04693275891968857,0.9765336205401557,113,969.566371681416
44552252.npy,0.8855606758832565,0.7833333333333333,0.09140113726599794,0.954299431367001,120,913.0083333333333
44599571.npy,0.9433551198257081,0.8135593220338984,0.06699464225408676,0.9665026788729566,118,928.4830508474577
44602134.npy,1.1169724770642202,0.8888888888888888,0.019988864650742507,0.9900055676746288,135,811.562962962963
44609586.npy,1.0075757575757576,0.9307692307692308,0.020719051487299314,0.9896404742563504,130,842.776923076923
44624338.npy,0.5853242320819113,0.907563025210084,0.05166071868639388,0.974169640656803,119,920.6806722689075
44651102.npy,0.44742268041237115,0.9384615384615385,0.017542738748277217,0.9912286306258614,130,842.776923076923
44652186.npy,0.8924302788844621,0.8432835820895522,0.06787086645795493,0.9660645667710225,134,817.6194029850747
44671556.npy,0.7758215962441315,0.8874172185430463,0.06619143673387427,0.9669042816330629,151,725.5695364238411
44685449.npy,0.6885964912280702,0.8907563025210085,0.015516470276832084,0.992241764861584,119,920.6806722689075
44804368.npy,0.5334909377462569,0.9016393442622951,0.022361971869552123,0.988819014065224,122,898.0409836065573
44911716.npy,0.8667218543046358,0.7913043478260869,0.08689223355025967,0.9565538832248701,115,952.704347826087
44916258.npy,0.5829187396351575,0.8432835820895522,0.10622393004810106,0.9468880349759494,134,817.6194029850747
45050576.npy,0.6188235294117647,0.8803418803418803,0.02391361889723533,0.9880431905513823,117,936.4188034188035
45059355.npy,0.819672131147541,0.7986111111111112,0.08769543907047216,0.956152280464764,144,760.8402777777778
45059518.npy,0.7606263982102909,0.860655737704918,0.10087531147032247,0.9495623442648388,122,898.0409836065573
45062861.npy,0.9065420560747663,0.8317757009345794,0.06681209554494756,0.9665939522275262,107,1023.9345794392524
45082213.npy,0.6678082191780822,0.8923076923076924,0.06122616624528801,0.969386916877356,130,842.776923076923
45095891.npy,0.893312101910828,0.7627118644067796,0.0808316828068382,0.9595841585965809,118,928.4830508474577
45168126.npy,0.9232736572890026,0.8776978417266187,0.04003249331422678,0.9799837533428866,139,788.2086330935252
45177362.npy,0.8624260355029586,0.9308755760368663,0.050528929089730834,0.9747355354551346,217,504.889400921659
45265266.npy,0.836231884057971,0.8842975206611571,0.04351913545878552,0.9782404322706072,121,905.4628099173553
45277581.npy,0.9040114613180515,0.9064748201438849,0.06034994204141985,0.9698250289792901,139,788.2086330935252
45317325.npy,1.125514403292181,0.897196261682243,0.02396838290997709,0.9880158085450115,107,1023.9345794392524
